id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
383,NEO,96,NCDT_096-440_447165 - CC - CD,0.0447165063,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
396,NEO,96,NCDT_072-420_442899 - CB - CD,0.0442899690,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
402,NEO,96,NCDT_072-300_340540 - CB - CD,0.0340540446,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
379,NEO,96,NCDT_096-459_466216 - CC-CB_CD,0.0466216500,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
398,NEO,96,NCDT_072-380_407813 - CB - CD,0.0407813260,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
388,NEO,96,NCDT_096-340_354302 - CC - CD,0.0354302175,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
382,NEO,96,NCDT_096-460_466216 - CC - CD,0.0466216500,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
433,NEO,96,NCDT_096-339_354302 - CC - CB - CD,0.0354302180,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
434,NEO,96,NCDT_096-359_372490 - CC - CB - CD,0.0372490470,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
435,NEO,96,NCDT_096-379_390892 - CC - CB - CD,0.0390892080,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
436,NEO,96,NCDT_096-399_409485 - CC - CB - CD,0.0409485000,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
437,NEO,96,NCDT_096-419_428248 - CC - CB - CD,0.0428248880,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
438,NEO,96,NCDT_096-439_447165 - CC - CB - CD,0.0447165060,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
439,NEO,96,NCDT_096-459_466216  - CC-CB - CD,0.0466216500,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
440,NEO,96,NCDT_096-279_301262 - CC- CB -CD,0.0301262070,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
441,NEO,96,NCDT_096-299_318661 - CC - CB - CD,0.0318661930,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
442,NEO,96,NCDT_096-319_336350 - CC - CB - CD,0.0336350900,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
443,NEO,96,NCDT_096-339_354302 - CC - CB - CD,0.0354302180,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
444,NEO,96,NCDT_096-359_372490 - CC - CB - CD,0.0372490470,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
445,NEO,96,NCDT_096-379_390892 - CC - CB - CD,0.0390892080,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
446,NEO,96,NCDT_096-399_409485 - CC - CB - CD,0.0409485000,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
447,NEO,96,NCDT_096-419_428248 - CC - CB - CD,0.0428248880,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
448,NEO,96,NCDT_096-439_447165 - CC - CB - CD,0.0447165060,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
449,NEO,96,NCDT_096-459_466216  - CC-CB - CD,0.0466216500,t,2025-11-20 14:23:47.862788,10,0.00,benefit_card,percentual
378,NEO,96,NCDT_096-439_447165 - CC-CB_CD,0.0447165060,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
92,PH Tech,60,"1118299 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0892124330,t,2025-11-20 03:29:55.266703,10,10.00,credit_card,percentual
